collision_date,NUM_COLLISIONS
2022-10-06,336
2022-10-07,323
2022-10-08,305
2022-10-09,243
2022-10-10,216
2022-10-11,278
2022-10-12,315
2022-10-13,304
2022-10-14,347
2022-10-15,275
2022-10-16,248
2022-10-17,263
2022-10-18,250
2022-10-19,286
2022-10-20,299
2022-10-21,335
2022-10-22,326
2022-10-23,241
2022-10-24,296
2022-10-25,295
2022-10-26,266
2022-10-27,315
2022-10-28,302
2022-10-29,308
2022-10-30,290
2022-10-31,286
2022-11-01,279
2022-11-02,322
2022-11-03,318
2022-11-04,287
2022-11-05,294
2022-11-06,232
2022-11-07,280
2022-11-08,231
2022-11-09,259
2022-11-10,266
2022-11-11,310
2022-11-12,270
2022-11-13,237
2022-11-14,264
2022-11-15,298
2022-11-16,303
2022-11-17,290
2022-11-18,285
2022-11-19,319
2022-11-20,249
2022-11-21,306
2022-11-22,306
2022-11-23,297
2022-11-24,191
2022-11-25,233
2022-11-26,247
2022-11-27,238
2022-11-28,254
2022-11-29,240
2022-11-30,279
2022-12-01,291
2022-12-02,298
2022-12-03,280
2022-12-04,255
2022-12-05,269
2022-12-06,318
2022-12-07,298
2022-12-08,286
2022-12-09,305
2022-12-10,253
2022-12-11,234
2022-12-12,282
2022-12-13,302
2022-12-14,261
2022-12-15,335
2022-12-16,373
2022-12-17,278
2022-12-18,241
2022-12-19,277
2022-12-20,266
2022-12-21,268
2022-12-22,290
2022-12-23,311
2022-12-24,267
2022-12-25,181
2022-12-26,189
2022-12-27,213
2022-12-28,221
2022-12-29,203
2022-12-30,299
2022-12-31,249
2023-01-01,275
2023-01-02,206
2023-01-03,225
2023-01-04,251
2023-01-05,235
2023-01-06,234
2023-01-07,181
2023-01-08,188
2023-01-09,242
2023-01-10,252
2023-01-11,216
2023-01-12,280
2023-01-13,299
2023-01-14,248
2023-01-15,193
2023-01-16,217
2023-01-17,256
2023-01-18,258
2023-01-19,298
2023-01-20,235
2023-01-21,230
2023-01-22,243
2023-01-23,254
2023-01-24,235
2023-01-25,256
2023-01-26,256
2023-01-27,235
2023-01-28,260
2023-01-29,215
2023-01-30,232
2023-01-31,261
2023-02-01,256
2023-02-02,263
2023-02-03,307
2023-02-04,222
2023-02-05,207
2023-02-06,255
2023-02-07,258
2023-02-08,237
2023-02-09,238
2023-02-10,297
2023-02-11,261
2023-02-12,209
2023-02-13,264
2023-02-14,259
2023-02-15,264
2023-02-16,262
2023-02-17,276
2023-02-18,252
2023-02-19,241
2023-02-20,186
2023-02-21,226
2023-02-22,214
2023-02-23,215
2023-02-24,269
2023-02-25,239
2023-02-26,232
2023-02-27,246
2023-02-28,228
2023-03-01,310
2023-03-02,247
2023-03-03,282
2023-03-04,269
2023-03-05,264
2023-03-06,257
2023-03-07,273
2023-03-08,236
2023-03-09,296
2023-03-10,292
2023-03-11,245
2023-03-12,213
2023-03-13,317
2023-03-14,268
2023-03-15,282
2023-03-16,250
2023-03-17,282
2023-03-18,233
2023-03-19,248
2023-03-20,287
2023-03-21,247
2023-03-22,221
2023-03-23,261
