"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","visib","wdsp","mxpsd","gust","prcp","fog","NUM_COLLISIONS"
"62",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2021,31,14.7,10,11.3,999.9,999.9,0,0,251
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2021,28.7,15.7,10,7.1,999.9,999.9,0,0,216
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2021,32.6,22.7,10,8.5,999.9,999.9,0,0,250
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2021,42.1,34.7,10,11,999.9,999.9,0,0,299
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2021,39.7,33.9,10,5.5,999.9,999.9,0,0,224
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2021,45.1,42.4,10,10.5,999.9,999.9,0,0,287
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2021,47.8,44.1,9.3,11.5,999.9,999.9,0,0,338
"69",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2021,39.1,23.1,10,15.2,53,999.9,0,0,252
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2021,39.8,25.1,9.5,13.9,53,999.9,0,0,244
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2021,22.1,6.4,9.5,18.2,53,999.9,0,0,253
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2021,28.4,14.5,10,6.6,999.9,999.9,0,0,237
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2021,38.5,29.9,10,4.8,999.9,999.9,0,0,243
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2021,41.4,40.2,7.8,3.7,999.9,999.9,0,0,244
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2021,33.6,26.3,8.3,20.1,27,40,0,0,309
"76",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2021,37.9,27.9,10,8,999.9,999.9,0,0,283
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2021,40.8,35.9,9.6,5,999.9,999.9,0,0,261
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2021,46.2,36.4,10,8.3,999.9,999.9,0,0,295
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2021,51.1,45.3,9.7,6.8,999.9,999.9,0,0,283
