"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","wdsp","NUM_COLLISIONS"
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2015,54.8,41.1,7.7,615
"130",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015,53.8,48,9.2,727
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2015,54.8,33.2,15,546
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2015,56.5,48.2,15.5,432
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2015,61.1,56.2,14.4,686
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2015,62.4,57.8,13.4,697
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2015,62.4,57.6,11.7,682
"136",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015,65.4,57.4,5.7,813
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2015,63.3,59.9,8.5,622
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2015,64.7,60.9,11.2,555
"139",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,55.9,52.8,12.7,691
"140",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2015,53.4,50.1,13.7,642
"141",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2015,53,44.9,13.9,658
"142",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2015,52.2,42.8,7.9,552
"143",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2015,53.1,46.6,7.3,692
"144",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2015,58,52.5,11.5,598
"145",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2015,59.5,45.8,7.7,559
"146",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,59.6,51.8,10.6,634
"147",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2015,64,59.9,14.2,652
"148",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2015,65.2,58.5,8.8,667
"149",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2015,64.6,59.7,11.8,666
"150",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2015,67,60.2,6.8,451
