day,collision_date,NUM_COLLISIONS
2,2017-05-02,743
6,2017-04-15,495
4,2017-02-02,586
5,2016-12-30,583
4,2017-01-19,610
2,2019-08-27,529
3,2019-07-03,654
5,2019-07-12,747
4,2019-07-04,394
2,2019-07-09,661
3,2019-05-29,601
4,2019-04-11,537
6,2019-03-09,523
4,2016-10-20,662
3,2018-12-26,514
2,2015-01-20,500
3,2015-01-07,538
7,2015-01-18,961
2,2014-12-23,732
1,2014-12-29,411
4,2014-11-27,378
6,2014-12-06,628
4,2014-10-30,626
6,2014-11-01,656
7,2014-11-23,425
4,2014-11-06,652
7,2014-10-26,515
4,2014-09-11,619
3,2014-09-24,566
5,2014-09-19,648
6,2014-08-09,538
3,2014-08-06,562
4,2014-08-28,618
3,2014-07-30,605
3,2014-07-23,591
6,2014-06-14,613
5,2014-06-20,765
4,2014-05-15,659
5,2014-05-30,650
6,2014-04-12,578
7,2014-04-06,484
2,2014-04-29,555
2,2014-04-22,459
6,2014-03-08,515
4,2014-03-27,538
4,2014-02-27,571
1,2014-01-13,568
4,2013-12-12,648
1,2013-12-16,640
7,2013-12-15,450
7,2013-12-08,456
3,2013-11-13,593
1,2013-11-11,456
2,2013-11-12,647
7,2013-11-17,533
3,2013-11-27,742
5,2013-11-01,710
7,2013-10-27,512
3,2013-10-23,558
2,2018-11-06,679
5,2018-10-05,796
4,2018-10-04,717
4,2018-09-06,822
5,2018-08-24,681
4,2018-08-16,647
4,2018-07-26,606
7,2018-05-27,487
6,2018-03-03,609
5,2021-09-24,383
5,2021-10-01,385
6,2022-04-02,277
3,2021-10-27,323
3,2021-08-04,291
4,2021-08-05,304
2,2021-08-17,286
7,2022-07-17,281
2,2022-03-22,290
6,2013-08-31,480
5,2013-08-30,599
6,2013-08-17,504
1,2013-07-01,633
1,2013-06-24,680
5,2013-07-05,576
2,2013-06-11,635
1,2013-06-03,707
7,2013-05-05,515
5,2013-04-26,675
3,2013-03-27,441
3,2013-04-03,532
2,2016-07-05,663
7,2016-07-03,448
1,2016-07-04,488
1,2016-07-18,725
1,2016-06-20,745
6,2016-06-25,688
2,2016-06-07,709
5,2016-05-20,782
1,2016-05-02,589
4,2016-04-14,674
4,2016-04-28,489
3,2016-03-23,621
3,2016-03-09,660
3,2016-02-24,660
1,2016-02-01,716
6,2018-05-12,602
4,2018-02-08,616
6,2018-01-20,530
1,2017-12-04,684
4,2017-11-23,469
4,2017-11-30,663
5,2022-06-03,320
6,2022-08-06,313
4,2021-03-25,257
7,2021-03-14,244
6,2020-12-19,251
2,2020-12-29,244
3,2021-01-13,245
4,2020-12-10,311
2,2020-12-15,315
5,2020-08-28,306
7,2020-09-13,245
4,2020-07-23,332
5,2020-07-10,296
2,2020-07-28,298
7,2013-03-24,451
5,2013-04-12,649
2,2013-03-26,425
1,2013-02-11,475
1,2013-02-04,553
7,2012-12-23,408
5,2012-12-21,751
1,2012-12-03,621
6,2012-10-20,587
5,2015-12-04,680
3,2015-12-02,655
1,2015-11-23,704
1,2015-11-16,618
6,2015-11-14,613
