"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","fog","NUM_COLLISIONS"
"87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,39.4,35.5,0,452
"88",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,43.9,41.7,1,486
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,47.8,40.7,1,576
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,45,31.4,0,443
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,45,38.2,0,554
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,49.8,46.3,0,542
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,50.6,35.8,1,595
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,46.4,28.5,0,560
"95",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,47.5,43.2,1,679
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,51.9,45.2,1,605
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,46.3,37.4,0,471
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,45.2,40.7,0,630
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,51.5,48.6,1,645
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,49.8,39.7,0,568
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,46.9,37.6,0,612
"102",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,44,27.7,0,676
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,43.7,27.5,0,592
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,46.1,34,0,477
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,49,37.9,0,558
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,46,35.9,0,613
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,49.3,38.5,0,679
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,48.1,38.3,0,640
"109",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015,43.8,37.2,0,642
"110",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2015,44.4,36.7,0,540
"111",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2015,44.5,38,1,555
"112",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2015,52.2,47.2,0,641
"113",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2015,57.1,48.6,0,638
"114",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2015,55.3,42.1,0,568
"115",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2015,55.9,42.3,0,684
"116",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015,52.4,47.8,1,709
"117",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2015,54.3,50.9,1,560
"118",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2015,57,54.8,1,549
"119",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2015,57.9,55.9,1,645
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2015,58.3,56.2,1,684
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2015,59.5,47.2,0,655
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2015,54,39.9,0,654
