"","day","year","mo","temp","dewp","max","min","fog","NUM_COLLISIONS"
"1358",5,2016,1,29.4,11.2,37,21.9,0,623
"1359",6,2016,1,30.9,10.8,37,25,0,666
"1360",7,2016,1,28,11.8,35.1,21.9,0,702
"1362",2,2016,1,34.5,27.9,37.9,33.1,0,517
"1363",3,2016,1,33.5,21.2,37.9,30,0,658
"1364",4,2016,1,42.2,36.4,48.2,28.9,0,734
"1365",5,2016,1,43,36.7,48,36,0,670
"1366",6,2016,1,35,24.4,46,23,0,681
"1367",7,2016,1,41.3,36.8,45,23,0,645
"1368",1,2016,1,37.8,27.3,45,34,0,596
"1369",2,2016,1,45,39,50,34,0,532
"1370",3,2016,2,47.6,43.1,52,43,0,716
"1371",4,2016,2,43.2,32.2,52,34,0,711
"1372",5,2016,2,42.6,37.8,51.1,30.9,0,579
"1373",6,2016,2,51.6,49.4,54,35.1,1,609
"1374",7,2016,2,40.8,38.4,54,32,1,607
"1375",1,2016,2,32.3,23.3,45,28,0,553
"1377",3,2016,2,36.4,31.4,44.1,32,1,501
"1378",4,2016,2,33.1,27.8,42.1,30.9,0,571
"1379",5,2016,2,33.5,28,37.9,28,0,537
"1380",6,2016,2,31.5,21.3,37.9,23,0,622
"1381",7,2016,2,19.3,4.2,36,15.1,0,628
"1382",1,2016,2,23.5,11.8,27,12.9,0,480
"1385",4,2016,2,44.5,41.7,50,36,1,615
"1386",5,2016,2,41.5,35.8,50,35.1,1,525
"1387",6,2016,2,36,23.1,44.1,32,0,592
"1388",7,2016,2,34.7,21.7,39.9,32,0,532
"1389",1,2016,2,42.8,36.4,48.9,32,0,555
"1390",2,2016,2,46.8,38.5,54,39,0,481
"1391",3,2016,2,41.8,31.7,54,32,0,615
"1392",4,2016,2,36.5,26.3,45,28.9,0,623
"1393",5,2016,2,46.9,43.7,53.6,41,0,660
"1394",6,2016,2,51,47.1,57.2,45,1,663
"1395",7,2016,2,40.2,23.9,57,35.1,0,476
"1397",2,2016,2,42.8,31.7,48.9,25,0,509
"1398",3,2016,2,47.8,40.9,54,39.9,0,616
"1399",4,2016,3,43.2,29,54,39,0,662
"1400",5,2016,3,45.7,38.8,52,37,0,653
"1401",6,2016,3,29.9,11.8,36,25,0,625
"1402",7,2016,3,33.9,26.2,39,25,0,685
"1403",1,2016,3,34.8,22.6,39,30,0,601
"1404",2,2016,3,33.2,18.7,41,23,0,500
"1405",3,2016,3,36.8,26.1,46,23,0,571
"1406",4,2016,3,44.4,36.5,51.1,26.1,0,632
"1407",5,2016,3,46.4,41.8,55,37.9,0,660
"1408",6,2016,3,49.6,43.8,62.1,41,0,629
"1409",7,2016,3,46.8,42.9,62.1,39.9,1,672
"1410",1,2016,3,41.2,35.4,55,30.9,0,625
"1411",2,2016,3,50.1,35.2,57.9,30.9,0,435
"1412",3,2016,3,43.8,33.8,46,41,0,640
"1413",4,2016,3,48.3,45.7,54,41,1,608
"1414",5,2016,3,45.2,41.9,51.1,43,1,629
"1415",6,2016,3,45.4,42.5,48.9,42.8,0,612
"1416",7,2016,3,47,37,54,39,0,644
"1417",1,2016,3,40,21.4,54,35.1,0,540
"1418",2,2016,3,37.2,22.6,43,32,0,479
"1419",3,2016,3,37.4,32,43,34,0,617
"1420",4,2016,3,40.8,23.9,45,35.1,0,628
"1421",5,2016,3,48.6,40.2,53.1,43,0,621
"1422",6,2016,3,45.1,38.1,54,42.1,0,635
"1423",7,2016,3,50.8,48.5,55.9,42.1,1,546
"1424",1,2016,3,44.8,37.6,55.9,36,1,530
"1425",2,2016,3,40,32.8,46.9,37,0,459
"1426",3,2016,3,45.1,41.4,55,37,1,658
"1427",4,2016,3,48.6,34.9,55,41,1,683
"1428",5,2016,3,43.4,24.8,55,37.9,0,650
"1429",6,2016,3,51,44.6,59,37.9,0,652
"1430",7,2016,4,54.8,52.5,59,46,1,702
"1431",1,2016,4,50.4,47.7,59,46,1,597
"1432",2,2016,4,41.7,32.9,53.1,33.1,0,585
"1433",3,2016,4,36.5,22.1,46.9,30.9,0,683
"1434",4,2016,4,35.1,23.5,45,30.9,0,672
"1435",5,2016,4,37,15.3,44.1,28.9,0,628
"1436",6,2016,4,50.9,44.8,57,32,0,630
"1437",7,2016,4,49.7,43.2,57,44.1,0,696
"1438",1,2016,4,41.8,25.1,53.1,35.1,0,557
