"","day","year","mo","collision_date","temp","dewp","max","min","fog","NUM_COLLISIONS"
"1224",2,2015,9,"2015-09-08",76.4,69.6,81,70,0,795
"1225",3,2015,9,"2015-09-09",75.8,71,81,71.6,1,740
"1226",4,2015,9,"2015-09-10",73.8,71.2,77,71.6,1,716
"1227",5,2015,9,"2015-09-11",68.6,65.6,72,64,0,765
"1228",6,2015,9,"2015-09-12",67.7,59.2,73,61,0,554
"1229",7,2015,9,"2015-09-13",68.2,65,73,63,0,478
"1230",1,2015,9,"2015-09-14",67.6,57.8,70,63,0,579
"1231",2,2015,9,"2015-09-15",70.8,58.4,79,64,0,579
"1232",3,2015,9,"2015-09-16",72.8,61.9,81,64,0,748
"1233",4,2015,9,"2015-09-17",69.3,65.6,75.9,48.9,1,744
"1234",5,2015,9,"2015-09-18",70.1,66.5,77,48.9,1,760
"1235",6,2015,9,"2015-09-19",70.4,66.2,77,63,1,655
"1236",7,2015,9,"2015-09-20",70.7,65.3,80.1,64,1,556
"1237",1,2015,9,"2015-09-21",63.9,52.9,80.1,61,0,624
"1238",2,2015,9,"2015-09-22",63.5,55.8,70,60.1,0,571
"1239",3,2015,9,"2015-09-23",62.4,55.2,70,55,0,501
"1240",4,2015,9,"2015-09-24",61.5,54.2,73,50,0,619
"1241",5,2015,9,"2015-09-25",61.2,50.2,73,50,0,585
"1242",6,2015,9,"2015-09-26",59.4,47.2,70,52,0,557
"1243",7,2015,9,"2015-09-27",59.4,50.9,70,48,0,493
"1244",1,2015,9,"2015-09-28",66.8,62,75.9,48,0,586
"1245",2,2015,9,"2015-09-29",69.3,65.6,75.9,61,0,557
"1246",3,2015,9,"2015-09-30",70.5,68.3,75,63,0,634
"1247",4,2015,10,"2015-10-01",59.7,55.3,73.9,57,0,683
"1248",5,2015,10,"2015-10-02",56,53.3,57.2,55,0,798
"1249",6,2015,10,"2015-10-03",55.5,50.4,57.9,53.6,0,556
"1250",7,2015,10,"2015-10-04",56.2,46.7,60.1,53.1,0,536
"1251",1,2015,10,"2015-10-05",58.6,52.1,64,53.1,0,597
"1252",2,2015,10,"2015-10-06",59.4,51.7,64.4,51.1,0,631
"1253",3,2015,10,"2015-10-07",57,50.5,66,48.9,0,668
"1254",4,2015,10,"2015-10-08",59.8,51.9,66,51.1,0,666
