"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","max","min","fog","NUM_COLLISIONS"
"200",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,74,82.9,69.1,0,705
"201",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,75,81,70,0,666
"202",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,74.5,81,68,1,619
"203",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,73.5,81,66.9,0,630
"204",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,71.2,79,64,0,726
"205",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,69.7,78.1,64,0,545
"206",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,67,77,64,0,489
"207",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,66.9,73.9,55.9,1,611
"208",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,67.9,73.9,55.9,0,601
"209",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,71.9,77,64,1,643
"210",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,71.1,79,63,1,714
"211",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,70.4,81,62.1,0,729
"212",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,71.8,81,62.1,1,582
"213",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,74.3,82,70,0,552
"214",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,74.1,82.9,70,0,592
"215",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,74.5,82.9,70,1,623
"216",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,73.9,81,69.1,1,594
"217",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,73.4,82,68,1,600
"218",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,73.6,82,68,1,753
