"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","max","min","fog","NUM_COLLISIONS"
"157",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2015,62,56,80.1,55.9,0,505
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2015,64.9,61.5,71.6,59,1,620
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,67.1,62.7,77,59,1,774
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2015,65.5,61.1,77,59,1,703
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2015,70.8,62.5,79,59,1,778
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2015,68.7,57.9,79,62.1,0,670
"163",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2015,66,60.5,77,61,0,774
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2015,61.5,55.4,72,54,1,595
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2015,64.4,61.6,71.1,54,1,535
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,64.3,59.4,71.1,57,1,662
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2015,67.1,61.8,73.9,57,0,622
"168",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,65.5,62.2,72,61,1,683
"169",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,68.7,62.5,77,61,0,603
"170",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,68.3,58.3,77,61,1,549
"171",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,65.8,59.5,73.9,55,0,467
"172",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,69.2,64.4,78.1,55,0,598
"173",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,68.1,64.3,78.1,62.1,0,646
"174",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,70.6,67.8,75.9,62.1,1,620
"175",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,69.1,61.2,75.9,66,0,567
"176",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,65.2,60.1,75,60.1,0,709
"177",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,71.8,62.1,81,60.1,0,597
"178",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,71.5,64.6,81,64.9,0,521
"179",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,70.9,64.9,80.1,66,0,668
"180",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,67.4,63,79,62.1,0,657
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,72.3,68.8,82,62.1,1,611
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,67.3,57.3,82,60.1,0,686
"183",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,64.9,57.6,73,54,0,659
"184",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,67.8,60.5,73.9,55,0,561
"185",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,71.4,67.9,77,64,1,545
"186",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,73.4,69.9,81,69.1,1,727
"187",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,72.6,69.7,82,68,1,606
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,73.7,65,82,68,1,618
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,71.9,60.8,80.1,63,0,623
"190",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,71.7,60.3,80.1,62.1,0,490
"191",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,68.5,60.2,80.1,60.1,0,451
"192",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,65.8,61.6,77,60.1,1,551
"193",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,71.1,66.5,75,61,0,626
"194",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,72.4,68.7,80.1,68,1,643
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,76,69.9,86,68,1,629
"196",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,74.2,70.7,86,69.1,0,717
"197",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,76.7,68.5,87.1,71.1,0,753
